date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:47:38	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2002%20Mar%202025%2020:47:38%20GMT	https://bradley.edu/academic/departments/csis/faculty	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/faculty	(from https://bradley.edu/academic/departments/csis/)
14:47:38	53610/53610	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Mar%202025%2020:47:38%20GMT	https://bradley.edu/academic/departments/csis/minor/cgt/	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/minor/cgt/index.html	(from https://bradley.edu/academic/departments/csis/)
14:47:38	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2002%20Mar%202025%2020:47:38%20GMT	https://bradley.edu/academic/departments/csis/faqs	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/faqs.23.delayed	(from https://bradley.edu/academic/departments/csis/)
14:47:39	61234/61234	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Mar%202025%2020:47:38%20GMT	https://bradley.edu/academic/departments/csis/gradprograms/	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/gradprograms/index.html	(from https://bradley.edu/academic/departments/csis/)
14:47:39	54121/54121	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Mar%202025%2020:47:38%20GMT	https://bradley.edu/academic/departments/csis/minor/ds/	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/minor/ds/index.html	(from https://bradley.edu/academic/departments/csis/)
14:47:39	54204/54204	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Mar%202025%2020:47:38%20GMT	https://bradley.edu/academic/departments/csis/minor/csis/	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/minor/csis/index.html	(from https://bradley.edu/academic/departments/csis/)
14:47:39	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2002%20Mar%202025%2020:47:39%20GMT	https://bradley.edu/academic/departments/csis/careers	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/careers	(from https://bradley.edu/academic/departments/csis/)
14:47:39	56705/56705	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Mar%202025%2020:47:39%20GMT	https://bradley.edu/academic/departments/csis/gradprograms/cs/	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/gradprograms/cs/index.html	(from https://bradley.edu/academic/departments/csis/)
14:47:39	56286/56286	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Mar%202025%2020:47:39%20GMT	https://bradley.edu/academic/departments/csis/gradprograms/cis/	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/gradprograms/cis/index.html	(from https://bradley.edu/academic/departments/csis/)
14:47:40	61385/61385	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Mar%202025%2020:47:40%20GMT	https://bradley.edu/academic/departments/csis/gradprograms/dsacdsc/	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/gradprograms/dsacdsc/index.html	(from https://bradley.edu/academic/departments/csis/)
14:47:40	25152/25152	---MCZ	200	added ('OK')	image/svg+xml	etag:W/dot:94f4871b-03f2-434d-a4fa-1a06ef49254f:1709922186000:25152	https://bradley.edu/academic/departments/csis/assets/img/CSIS-2-collaboration.svg	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/assets/img/CSIS-2-collaboration.svg	(from https://bradley.edu/academic/departments/csis/)
14:47:40	1039380/1039380	---M--	200	added ('OK')	image/png	etag:%22da574ede5a44c736d33b40d7eeecf434%22	https://content.presspage.com/uploads/1873/e0665f6a-23c0-446a-b392-5d2eeb6b71c1/1920_plunketheartmixedreality.png?10000	C:/My%20Web%20Sites/Bradley%20Copy/content.presspage.com/uploads/1873/e0665f6a-23c0-446a-b392-5d2eeb6b71c1/1920_plunketheartmixedrealityb7a7.png	(from https://bradley.edu/academic/departments/csis/)
14:47:40	53658/53658	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Mar%202025%2020:47:40%20GMT	https://bradley.edu/academic/departments/csis/gradprograms/cgt/	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/gradprograms/cgt/index.html	(from https://bradley.edu/academic/departments/csis/)
14:47:40	10825/10825	---MCZ	200	added ('OK')	image/svg+xml	etag:W/dot:00ea1943-1cbb-4ab7-b753-6d873d4a2e69:1709922045000:10825	https://bradley.edu/academic/departments/csis/assets/img/CSIS-1-smallClasses.svg	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/assets/img/CSIS-1-smallClasses.svg	(from https://bradley.edu/academic/departments/csis/)
14:47:41	901/901	---M--	200	added ('OK')	text/javascript	etag:%220x8DC8001F0BECC1C%22	https://apolloevents.rvaed.com/apolloevents.js	C:/My%20Web%20Sites/Bradley%20Copy/apolloevents.rvaed.com/apolloevents.js	(from https://bradley.edu/academic/departments/csis/)
14:47:42	54164/54164	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Mar%202025%2020:47:41%20GMT	https://bradley.edu/academic/departments/csis/gradprograms/cm/	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/gradprograms/cm/index.html	(from https://bradley.edu/academic/departments/csis/)
14:47:43	54073/54073	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Mar%202025%2020:47:41%20GMT	https://bradley.edu/academic/departments/csis/gradprograms/emerging/	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/gradprograms/emerging/index.html	(from https://bradley.edu/academic/departments/csis/)
14:47:43	53734/53734	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Mar%202025%2020:47:41%20GMT	https://bradley.edu/academic/departments/csis/gradprograms/mc/	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/gradprograms/mc/index.html	(from https://bradley.edu/academic/departments/csis/)
14:47:43	53918/53918	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Mar%202025%2020:47:41%20GMT	https://bradley.edu/academic/departments/csis/gradprograms/isddm/	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/gradprograms/isddm/index.html	(from https://bradley.edu/academic/departments/csis/)
14:47:43	53903/53903	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Mar%202025%2020:47:43%20GMT	https://bradley.edu/academic/departments/csis/gradprograms/se/	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/gradprograms/se/index.html	(from https://bradley.edu/academic/departments/csis/)
14:47:43	53696/53696	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Mar%202025%2020:47:43%20GMT	https://bradley.edu/academic/departments/csis/gradprograms/swcs/	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/gradprograms/swcs/index.html	(from https://bradley.edu/academic/departments/csis/)
